SupplierKey,SupplierID,SupplierName,SupplierType,ContactPerson,PhoneNumber,Email,Address,City,State,Country,PaymentTerms,IsActive
1,SUP001,VetPharm Distributors,Pharmaceutical,John Smith,800-555-0201,john.smith@vetpharm.com,100 Pharma Boulevard,New York,NY,USA,Net 30,1
2,SUP002,Pfizer Animal Health,Pharmaceutical,Lisa Johnson,800-555-0202,lisa.johnson@pfizer.com,235 East 42nd Street,New York,NY,USA,Net 45,1
3,SUP003,Merial Inc,Pharmaceutical,Robert Davis,800-555-0203,robert.davis@merial.com,3239 Satellite Boulevard,Duluth,GA,USA,Net 30,1
4,SUP004,Hill's Pet Nutrition,Diet & Nutrition,Sarah Wilson,800-555-0204,sarah.wilson@hillspet.com,400 SW 8th Street,Topeka,KS,USA,Net 30,1
5,SUP005,Boehringer Ingelheim,Pharmaceutical,Michael Brown,800-555-0205,michael.brown@boehringer.com,900 Ridgebury Road,Ridgefield,CT,USA,Net 45,1
6,SUP006,Bayer Animal Health,Pharmaceutical,Jennifer Lee,800-555-0206,jennifer.lee@bayer.com,12707 Shawnee Mission Parkway,Shawnee,KS,USA,Net 30,1
7,SUP007,Royal Canin USA,Diet & Nutrition,David Miller,800-555-0207,david.miller@royalcanin.com,500 Fountain Lakes Boulevard,St. Charles,MO,USA,Net 30,1
8,SUP008,Nutramax Laboratories,Supplements,Amanda Taylor,800-555-0208,amanda.taylor@nutramaxlabs.com,2208 Lakeside Boulevard,Edgewood,MD,USA,Net 30,1
9,SUP009,Elanco Animal Health,Pharmaceutical,Christopher Garcia,800-555-0209,christopher.garcia@elanco.com,2500 Innovation Way,Greenfield,IN,USA,Net 45,1
10,SUP010,Purina Pro Plan Veterinary,Diet & Nutrition,Michelle Rodriguez,800-555-0210,michelle.rodriguez@purina.com,One Checkerboard Square,St. Louis,MO,USA,Net 30,1
11,SUP011,American Regent,Pharmaceutical,Thomas Anderson,800-555-0211,thomas.anderson@americanregent.com,119 Headquarters Plaza,Shirley,NY,USA,Net 45,1
12,SUP012,VetSupply Solutions,Medical Equipment,Nancy White,800-555-0212,nancy.white@vetsupply.com,456 Supply Chain Drive,Denver,CO,USA,Net 30,1
13,SUP013,Generic Pharmaceuticals Co,Pharmaceutical,Kevin Thompson,800-555-0213,kevin.thompson@genericpharma.com,789 Generic Avenue,Phoenix,AZ,USA,Net 30,1
14,SUP014,Pet Food Plus,Diet & Nutrition,Rachel Martinez,800-555-0214,rachel.martinez@petfoodplus.com,321 Nutrition Street,Portland,OR,USA,Net 30,1
15,SUP015,Wholesale Vet Supplies,General Supplies,Daniel Clark,800-555-0215,daniel.clark@wholesalevet.com,654 Wholesale Boulevard,Atlanta,GA,USA,Net 30,1
